output_feature,source_feature,source_table,extract_table_alias,is_output_renamed
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d180_due_repay_amt_avg_divide_d180_faqi_trade_amt_avg,d180_due_repay_amt_avg_divide_d180_faqi_trade_amt_avg,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
his_max_due_prc_amt_divide_his_max_faqi_prc_amt,his_max_due_prc_amt_divide_his_max_faqi_prc_amt,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
his_max_faqi_prc_amt_divide_unpaid_principal_tot,his_max_faqi_prc_amt_divide_unpaid_principal_tot,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
his_trade_fail_count_mon_divide_his_trade_success_count_mon,his_trade_fail_count_mon_divide_his_trade_success_count_mon,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_25_cross_inner_behaviour_df_feature,t16,False
