score_column,non_null_count,null_count,mean,available
model_score,9600000,0,0.1548847411328363,True
gcard_v2,9596818,3182,0.1647187644206682,True
gcard_v4,9599773,227,0.13110368531614788,True
gcard_v5,9600000,0,0.14296050369739532,True
gcard_v6,9600000,0,0.1553787834467442,True
